2018-12-12T17:25:00.2392192+00:00 VideoStart  
2018-12-12T17:25:00.4185344+00:00 TrialRewardType FoodTrial 
2018-12-12T17:25:00.4190080+00:00 TrialBallType StableBall 
2018-12-12T17:25:04.7959168+00:00 TrialStart  
2018-12-12T17:25:05.0789888+00:00 BallOn  
2018-12-12T17:25:05.0817664+00:00 BallPosition (-0.42275075017137, -0.067201224536263) 
2018-12-12T17:25:05.1583616+00:00 BallTracking (-0.4230903, -0.06720123) 
2018-12-12T17:25:05.1652864+00:00 BallTracking (-0.4243352, -0.06720123) 
2018-12-12T17:25:05.1735808+00:00 BallTracking (-0.4762834, -0.06720123) 
2018-12-12T17:25:05.1819008+00:00 BallTracking (-0.4787733, -0.06720123) 
2018-12-12T17:25:05.1902336+00:00 BallTracking (-0.4813198, -0.06720123) 
2018-12-12T17:25:05.1986944+00:00 BallTracking (-0.4839228, -0.06720123) 
2018-12-12T17:25:05.2068992+00:00 BallTracking (-0.4865825, -0.06720123) 
2018-12-12T17:25:05.2152320+00:00 BallTracking (-0.4892987, -0.06720123) 
2018-12-12T17:25:05.2235648+00:00 BallTracking (-0.4920716, -0.06720123) 
2018-12-12T17:25:05.2318976+00:00 BallTracking (-0.494901, -0.06720123) 
2018-12-12T17:25:05.2402176+00:00 BallTracking (-0.497787, -0.06720123) 
2018-12-12T17:25:05.2485632+00:00 BallTracking (-0.5007296, -0.06720123) 
2018-12-12T17:25:05.2569088+00:00 BallTracking (-0.5037288, -0.06720123) 
2018-12-12T17:25:05.2652416+00:00 BallTracking (-0.5067846, -0.06720123) 
2018-12-12T17:25:05.2748928+00:00 BallTracking (-0.5098969, -0.06720123) 
2018-12-12T17:25:05.2832384+00:00 BallTracking (-0.5130659, -0.06720123) 
2018-12-12T17:25:05.2915712+00:00 BallTracking (-0.5162914, -0.06720123) 
2018-12-12T17:25:05.2999552+00:00 BallTracking (-0.5195736, -0.06720123) 
2018-12-12T17:25:05.3083008+00:00 BallTracking (-0.5229123, -0.06720123) 
2018-12-12T17:25:05.3166208+00:00 BallTracking (-0.5263076, -0.06720123) 
2018-12-12T17:25:05.3249536+00:00 BallTracking (-0.5297595, -0.06720123) 
2018-12-12T17:25:05.3332992+00:00 BallTracking (-0.5332679, -0.06720123) 
2018-12-12T17:25:05.3416320+00:00 BallTracking (-0.536833, -0.06720123) 
2018-12-12T17:25:05.3500672+00:00 BallTracking (-0.5404547, -0.06720123) 
2018-12-12T17:25:05.3583104+00:00 BallTracking (-0.5441329, -0.06720123) 
2018-12-12T17:25:05.3666432+00:00 BallTracking (-0.5478678, -0.06720123) 
2018-12-12T17:25:05.3751040+00:00 BallTracking (-0.5516592, -0.06720123) 
2018-12-12T17:25:05.3832960+00:00 BallTracking (-0.5555072, -0.06720123) 
2018-12-12T17:25:05.3918080+00:00 BallTracking (-0.5594118, -0.06720123) 
2018-12-12T17:25:05.3999872+00:00 BallTracking (-0.563373, -0.06720123) 
2018-12-12T17:25:05.4082944+00:00 BallTracking (-0.5673907, -0.06720123) 
2018-12-12T17:25:05.4166400+00:00 BallTracking (-0.5714651, -0.06720123) 
2018-12-12T17:25:05.4249856+00:00 BallTracking (-0.5755961, -0.06720123) 
2018-12-12T17:25:05.4332928+00:00 BallTracking (-0.5797836, -0.06720123) 
2018-12-12T17:25:05.4429056+00:00 BallTracking (-0.5840278, -0.06720123) 
2018-12-12T17:25:05.4499840+00:00 BallTracking (-0.5883285, -0.06720123) 
2018-12-12T17:25:05.4583040+00:00 BallTracking (-0.5926858, -0.06720123) 
2018-12-12T17:25:05.4666496+00:00 BallTracking (-0.5970997, -0.06720123) 
2018-12-12T17:25:05.4749824+00:00 BallTracking (-0.6015702, -0.06720123) 
2018-12-12T17:25:05.4833152+00:00 BallTracking (-0.6060972, -0.06720123) 
2018-12-12T17:25:05.4916480+00:00 BallTracking (-0.6106809, -0.06720123) 
2018-12-12T17:25:05.4999808+00:00 BallTracking (-0.6153212, -0.06720123) 
2018-12-12T17:25:05.5085312+00:00 BallTracking (-0.620018, -0.06720123) 
2018-12-12T17:25:05.5166336+00:00 BallTracking (-0.6247714, -0.06720123) 
2018-12-12T17:25:05.5249920+00:00 BallTracking (-0.6295815, -0.06720123) 
2018-12-12T17:25:05.5333248+00:00 BallTracking (-0.6344481, -0.06720123) 
2018-12-12T17:25:05.5416448+00:00 BallTracking (-0.6393712, -0.06720123) 
2018-12-12T17:25:05.5499776+00:00 BallTracking (-0.644351, -0.06720123) 
